
> frontend@0.1.0 test
> jest --coverage

----------------------------|---------|----------|---------|---------|----------------------
File                        | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s    
----------------------------|---------|----------|---------|---------|----------------------
All files                   |   96.07 |    77.17 |   60.52 |   96.07 |                      
 auth                       |   68.75 |       75 |     100 |   68.75 |                      
  AuthInit.tsx              |   68.75 |       75 |     100 |   68.75 | 16-25                
 beauty                     |   99.59 |     87.5 |     100 |   99.59 |                      
  BeautyLandingPage.tsx     |   99.59 |     87.5 |     100 |   99.59 | 66                   
 home                       |   98.64 |    66.66 |     100 |   98.64 |                      
  CategoryShowcase.tsx      |     100 |      100 |     100 |     100 |                      
  FeaturedSection.tsx       |   97.87 |    61.53 |     100 |   97.87 | 36,57-58             
 home_living                |   99.62 |     87.5 |     100 |   99.62 |                      
  HomeLivingLandingPage.tsx |   99.62 |     87.5 |     100 |   99.62 | 66                   
 kids                       |   99.61 |     87.5 |     100 |   99.61 |                      
  KidsLandingPage.tsx       |   99.61 |     87.5 |     100 |   99.61 | 66                   
 layout                     |   87.82 |       60 |   33.33 |   87.82 |                      
  ConditionalLayout.tsx     |     100 |       50 |     100 |     100 | 17                   
  Footer.tsx                |     100 |      100 |     100 |     100 |                      
  Hero.tsx                  |     100 |      100 |     100 |     100 |                      
  Navbar.tsx                |      75 |       50 |   11.11 |      75 | 23-24,89-133,182-186 
 men                        |    99.6 |     87.5 |     100 |    99.6 |                      
  MenLandingPage.tsx        |    99.6 |     87.5 |     100 |    99.6 | 66                   
 product                    |   93.61 |    83.33 |      30 |   93.61 |                      
  CategoryHeader.tsx        |     100 |      100 |     100 |     100 |                      
  FilterSidebar.tsx         |   91.83 |      100 |   16.66 |   91.83 | 69-74,77-82          
  ProductCard.tsx           |   91.96 |       50 |   33.33 |   91.96 | 23-26,29-32,60       
 ui                         |     100 |      100 |     100 |     100 |                      
  Button.tsx                |     100 |      100 |     100 |     100 |                      
 women                      |   99.58 |     87.5 |     100 |   99.58 |                      
  WomenLandingPage.tsx      |   99.58 |     87.5 |     100 |   99.58 | 66                   
----------------------------|---------|----------|---------|---------|----------------------
