
> frontend@0.1.0 test
> jest --coverage

----------------------------|---------|----------|---------|---------|------------------------------------------------
File                        | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                              
----------------------------|---------|----------|---------|---------|------------------------------------------------
All files                   |   95.05 |    72.19 |   67.14 |   95.05 |                                                
 app                        |     100 |      100 |     100 |     100 |                                                
  layout.tsx                |     100 |      100 |     100 |     100 |                                                
  page.tsx                  |     100 |      100 |     100 |     100 |                                                
 app/cart                   |     100 |      100 |      25 |     100 |                                                
  page.tsx                  |     100 |      100 |      25 |     100 |                                                
 app/checkout               |   73.06 |    68.42 |     100 |   73.06 |                                                
  page.tsx                  |   73.06 |    68.42 |     100 |   73.06 | 43-55,76-78,81-83,87-147                       
 app/login                  |     100 |       75 |      80 |     100 |                                                
  page.tsx                  |     100 |       75 |      80 |     100 | 31-32                                          
 app/orders                 |   99.49 |     87.5 |     100 |   99.49 |                                                
  page.tsx                  |   99.49 |     87.5 |     100 |   99.49 | 20                                             
 app/products               |   86.66 |       50 |     100 |   86.66 |                                                
  page.tsx                  |   86.66 |       50 |     100 |   86.66 | 30,41-42,60-61,64-65,68-69,72-73,76-77,111-115 
 app/products/[id]          |   93.51 |    73.33 |   42.85 |   93.51 |                                                
  page.tsx                  |   93.51 |    73.33 |   42.85 |   93.51 | 38,48-51,54-57,69-75,118                       
 app/profile                |     100 |    42.85 |     100 |     100 |                                                
  page.tsx                  |     100 |    42.85 |     100 |     100 | 36-38,71                                       
 app/register               |   97.66 |    66.66 |     100 |   97.66 |                                                
  page.tsx                  |   97.66 |    66.66 |     100 |   97.66 | 32-34,46-47                                    
 app/wishlist               |     100 |      100 |     100 |     100 |                                                
  page.tsx                  |     100 |      100 |     100 |     100 |                                                
 components/auth            |   68.75 |       75 |     100 |   68.75 |                                                
  AuthInit.tsx              |   68.75 |       75 |     100 |   68.75 | 16-25                                          
 components/beauty          |   99.59 |     87.5 |     100 |   99.59 |                                                
  BeautyLandingPage.tsx     |   99.59 |     87.5 |     100 |   99.59 | 66                                             
 components/home            |   98.64 |    66.66 |     100 |   98.64 |                                                
  CategoryShowcase.tsx      |     100 |      100 |     100 |     100 |                                                
  FeaturedSection.tsx       |   97.87 |    61.53 |     100 |   97.87 | 36,57-58                                       
 components/home_living     |   99.62 |     87.5 |     100 |   99.62 |                                                
  HomeLivingLandingPage.tsx |   99.62 |     87.5 |     100 |   99.62 | 66                                             
 components/kids            |   99.61 |     87.5 |     100 |   99.61 |                                                
  KidsLandingPage.tsx       |   99.61 |     87.5 |     100 |   99.61 | 66                                             
 components/layout          |   87.82 |       60 |   33.33 |   87.82 |                                                
  ConditionalLayout.tsx     |     100 |       50 |     100 |     100 | 17                                             
  Footer.tsx                |     100 |      100 |     100 |     100 |                                                
  Hero.tsx                  |     100 |      100 |     100 |     100 |                                                
  Navbar.tsx                |      75 |       50 |   11.11 |      75 | 23-24,89-133,182-186                           
 components/men             |    99.6 |     87.5 |     100 |    99.6 |                                                
  MenLandingPage.tsx        |    99.6 |     87.5 |     100 |    99.6 | 66                                             
 components/product         |   93.61 |    83.33 |      30 |   93.61 |                                                
  CategoryHeader.tsx        |     100 |      100 |     100 |     100 |                                                
  FilterSidebar.tsx         |   91.83 |      100 |   16.66 |   91.83 | 69-74,77-82                                    
  ProductCard.tsx           |   91.96 |       50 |   33.33 |   91.96 | 23-26,29-32,60                                 
 components/ui              |     100 |      100 |     100 |     100 |                                                
  Button.tsx                |     100 |      100 |     100 |     100 |                                                
 components/women           |   99.58 |     87.5 |     100 |   99.58 |                                                
  WomenLandingPage.tsx      |   99.58 |     87.5 |     100 |   99.58 | 66                                             
----------------------------|---------|----------|---------|---------|------------------------------------------------
